Game_Id,Date,Home_Team,Away_Team,Season,Home_Score,Away_Score,Overall_Power_Difference
370,2025-12-27,R. Madrid,Liverpool,2025-2026,1,2,0.767200000000001
371,2025-12-27,Chelsea,Juventus,2025-2026,2,0,-2.7812
372,2025-12-27,Arsenal,FC Bayern,2025-2026,2,2,1.9049
373,2026-01-03,R. Madrid,Barcelona,2025-2026,0,1,0.503400000000001
374,2026-01-03,Chelsea,FC Bayern,2025-2026,3,0,0.156000000000002
375,2026-01-03,Juventus,Liverpool,2025-2026,2,2,2.9379
376,2026-01-03,Man Utd,Arsenal,2025-2026,1,0,-0.0475
377,2026-01-24,Arsenal,R. Madrid,2025-2026,2,2,0.5669
378,2026-01-24,Barcelona,Chelsea,2025-2026,3,2,0.371099999999999
379,2026-01-24,Liverpool,Man Utd,2025-2026,4,1,-0.928299999999998
380,2026-01-24,FC Bayern,Juventus,2025-2026,2,0,-0.2863
381,2026-02-21,R. Madrid,Chelsea,2025-2026,0,0,-0.5618
382,2026-02-21,FC Bayern,Man Utd,2025-2026,3,1,1.6828
383,2026-02-21,Barcelona,Liverpool,2025-2026,0,1,0.6825
384,2026-02-21,Arsenal,Juventus,2025-2026,3,0,2.4641
385,2026-04-18,Liverpool,FC Bayern,2025-2026,3,1,-1.4991
386,2026-04-18,Juventus,Barcelona,2025-2026,2,1,0.549000000000002
387,2026-04-18,Chelsea,Arsenal,2025-2026,3,0,1.092
388,2026-04-18,Man Utd,R. Madrid,2025-2026,3,1,0.850699999999999
389,2026-05-02,Liverpool,Arsenal,2025-2026,2,1,-0.136100000000001
390,2026-05-02,Juventus,R. Madrid,2025-2026,1,1,-0.0867
391,2026-05-02,FC Bayern,Barcelona,2025-2026,2,2,0.602899999999999
392,2026-05-02,Chelsea,Man Utd,2025-2026,1,0,0.7717
